collected_at,excluded_reason,match_score,match_status,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,product_key,source,title,url,usable_for_baseline
2026-06-15T08:46:26Z,volume_mismatch,70,excluded,42900,1,ml,500.0,42900,아누아어성초77수딩토너250ml,danawa,아누아 어성초 77 % 진정 토너 500ml,https://prod.danawa.com/info/?pcode=12664208&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False
2026-06-15T08:46:26Z,volume_mismatch,70,excluded,30450,1,ml,350.0,30450,아누아어성초77수딩토너250ml,danawa,아누아 어성초 77 수딩 토너 350ml,https://prod.danawa.com/info/?pcode=14507213&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False
2026-06-15T08:46:26Z,volume_mismatch,70,excluded,16200,1,ml,350.0,16200,아누아어성초77수딩토너250ml,danawa,아누아 어성초 77 % 수딩 토너 (구) 350ml,https://prod.danawa.com/info/?pcode=97743473&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False
2026-06-15T08:46:26Z,volume_mismatch,70,excluded,30450,1,ml,350.0,30450,아누아어성초77수딩토너250ml,danawa,아누아 어성초 77 % 수딩 토너 350ml 기획,https://prod.danawa.com/info/?pcode=122026437&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False
2026-06-15T08:46:26Z,"volume_mismatch,mask_or_pack_variant",70,excluded,19800,1,ml,350.0,19800,아누아어성초77수딩토너250ml,danawa,아누아 어성초 77 % 수딩 토너 350ml 리필팩,https://prod.danawa.com/info/?pcode=74985383&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False
2026-06-15T08:46:26Z,,90,candidate,13180,1,ml,250.0,13180,아누아어성초77수딩토너250ml,danawa,더파운더즈 아누아 아누아 어성초 77 진정 토너 250ml 1+1 (eTV),https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228193&cate_c4=0&cmpny_c=EE128&link_prod_c=3285633535&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&r=17815131954268&cate=18255391,True
2026-06-15T08:46:26Z,,90,candidate,33300,1,ml,250.0,33300,아누아어성초77수딩토너250ml,danawa,아누아 뷰티톤업 (NS홈쇼핑)미백 주름 개선 어성초 77 진정 토너 250ml 1 안티에이징 주름개선 탄력강화1 (eTV)33674479,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228061&cate_c3=228193&cate_c4=0&cmpny_c=EE309&link_prod_c=LO2701209277&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&r=17815131953112&cate=18255391,True
2026-06-15T08:46:26Z,volume_mismatch,60,excluded,15120,1,ml,500.0,15120,라운드랩1025독도토너200ml,danawa,라운드 랩 1025 독도 토너 500ml,https://prod.danawa.com/info/?pcode=5568067&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EB%8F%85%EB%8F%84+%ED%86%A0%EB%84%88&cate=18255391,False
2026-06-15T08:46:26Z,,80,candidate,21410,1,ml,200.0,21410,라운드랩1025독도토너200ml,danawa,라운드 랩 독도 토너 200ml + 로션 200ml,https://prod.danawa.com/info/?pcode=30625664&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EB%8F%85%EB%8F%84+%ED%86%A0%EB%84%88&cate=18255390,True
2026-06-15T08:46:26Z,volume_mismatch,60,excluded,35330,1,ml,500.0,35330,라운드랩1025독도토너200ml,danawa,라운드 랩 1025 독도 토너 500ml+100ml,https://prod.danawa.com/info/?pcode=111742991&keyword=%EB%9D%BC%EC%9A%B4%EB%93%9C%EB%9E%A9+%EB%8F%85%EB%8F%84+%ED%86%A0%EB%84%88&cate=18255391,False
